goos: darwin
goarch: arm64
pkg: scrinium.dev/engine/artifact
cpu: Apple M5
BenchmarkManifestCodec/Encode-10         	 2624362	       434.2 ns/op	    1048 B/op	       6 allocs/op
BenchmarkManifestCodec/Encode-10         	 2768148	       434.9 ns/op	    1048 B/op	       6 allocs/op
BenchmarkManifestCodec/Encode-10         	 2764587	       434.5 ns/op	    1048 B/op	       6 allocs/op
BenchmarkManifestCodec/Encode-10         	 2763217	       437.1 ns/op	    1048 B/op	       6 allocs/op
BenchmarkManifestCodec/Encode-10         	 2752606	       437.4 ns/op	    1048 B/op	       6 allocs/op
BenchmarkManifestCodec/Encode-10         	 2717272	       440.6 ns/op	    1048 B/op	       6 allocs/op
BenchmarkManifestCodec/Encode-10         	 2634999	       442.4 ns/op	    1048 B/op	       6 allocs/op
BenchmarkManifestCodec/Encode-10         	 2728138	       440.6 ns/op	    1048 B/op	       6 allocs/op
BenchmarkManifestCodec/Encode-10         	 2700328	       445.5 ns/op	    1048 B/op	       6 allocs/op
BenchmarkManifestCodec/Encode-10         	 2522260	       448.1 ns/op	    1048 B/op	       6 allocs/op
BenchmarkManifestCodec/Decode-10         	  631898	      1922 ns/op	    1640 B/op	      23 allocs/op
BenchmarkManifestCodec/Decode-10         	  616360	      1931 ns/op	    1640 B/op	      23 allocs/op
BenchmarkManifestCodec/Decode-10         	  624007	      2002 ns/op	    1640 B/op	      23 allocs/op
BenchmarkManifestCodec/Decode-10         	  607800	      1909 ns/op	    1640 B/op	      23 allocs/op
BenchmarkManifestCodec/Decode-10         	  621738	      1901 ns/op	    1640 B/op	      23 allocs/op
BenchmarkManifestCodec/Decode-10         	  620700	      1840 ns/op	    1640 B/op	      23 allocs/op
BenchmarkManifestCodec/Decode-10         	  644982	      1849 ns/op	    1640 B/op	      23 allocs/op
BenchmarkManifestCodec/Decode-10         	  633772	      1862 ns/op	    1640 B/op	      23 allocs/op
BenchmarkManifestCodec/Decode-10         	  638719	      1870 ns/op	    1640 B/op	      23 allocs/op
BenchmarkManifestCodec/Decode-10         	  639313	      1865 ns/op	    1640 B/op	      23 allocs/op
goos: darwin
goarch: arm64
pkg: scrinium.dev/engine/store
cpu: Apple M5
BenchmarkPut_64B-10      	    2772	    449934 ns/op	   0.14 MB/s	   45200 B/op	     169 allocs/op
BenchmarkPut_64B-10      	    2587	    444352 ns/op	   0.14 MB/s	   45198 B/op	     169 allocs/op
BenchmarkPut_64B-10      	    2596	    444847 ns/op	   0.14 MB/s	   45181 B/op	     169 allocs/op
BenchmarkPut_64B-10      	    2582	    442817 ns/op	   0.14 MB/s	   45198 B/op	     169 allocs/op
BenchmarkPut_64B-10      	    2592	    448292 ns/op	   0.14 MB/s	   45197 B/op	     169 allocs/op
BenchmarkPut_64B-10      	    2594	    454556 ns/op	   0.14 MB/s	   45183 B/op	     169 allocs/op
BenchmarkPut_64B-10      	    2784	    440855 ns/op	   0.15 MB/s	   45181 B/op	     169 allocs/op
BenchmarkPut_64B-10      	    2590	    447672 ns/op	   0.14 MB/s	   45193 B/op	     169 allocs/op
BenchmarkPut_64B-10      	    2566	    445545 ns/op	   0.14 MB/s	   45191 B/op	     169 allocs/op
BenchmarkPut_64B-10      	    2526	    449829 ns/op	   0.14 MB/s	   45199 B/op	     169 allocs/op
BenchmarkPut_4KiB-10     	    2529	    461759 ns/op	   8.87 MB/s	   45349 B/op	     171 allocs/op
BenchmarkPut_4KiB-10     	    2449	    453913 ns/op	   9.02 MB/s	   45358 B/op	     171 allocs/op
BenchmarkPut_4KiB-10     	    2503	    457956 ns/op	   8.94 MB/s	   45236 B/op	     171 allocs/op
BenchmarkPut_4KiB-10     	    2510	    460355 ns/op	   8.90 MB/s	   45357 B/op	     171 allocs/op
BenchmarkPut_4KiB-10     	    2538	    456066 ns/op	   8.98 MB/s	   45355 B/op	     171 allocs/op
BenchmarkPut_4KiB-10     	    2451	    457150 ns/op	   8.96 MB/s	   45358 B/op	     171 allocs/op
BenchmarkPut_4KiB-10     	    2538	    455938 ns/op	   8.98 MB/s	   45368 B/op	     171 allocs/op
BenchmarkPut_4KiB-10     	    2498	    456403 ns/op	   8.97 MB/s	   45227 B/op	     171 allocs/op
BenchmarkPut_4KiB-10     	    2469	    459243 ns/op	   8.92 MB/s	   45352 B/op	     171 allocs/op
BenchmarkPut_4KiB-10     	    2463	    469030 ns/op	   8.73 MB/s	   45231 B/op	     171 allocs/op
BenchmarkPut_64KiB-10    	    2194	    529981 ns/op	 123.66 MB/s	   45398 B/op	     171 allocs/op
